Year;effectif_actifs;effectif_retraites;Total Employees;effectif_ayants_cause;effectif_nouveaux_ayants_cause;effectif_conjoints_actifs;effectif_conjoints_retraites;Total Spouses;effectif_enfants_actifs;effectif_enfants_retraites;effectif_enfants_ayant_cause;Total Children
0;66,0;34,0;100,0;25,0;0,0;39,0;25,0;64,0;56,0;29,0;0;85,0
1;64,96693183959185;33,269636218898675;98,23656805849052;24,616222770774858;0,48558351688561907;40,57931481509481;23,839391842039912;64,41870665713472;55,012958876016164;28,976423267784995;0;83,98938214380115
2;63,96754873972944;32,46436773983047;96,4319164795599;24,193688668228493;0,9230433128417833;42,131216547836814;22,685554540384082;64,81677108822089;54,24516617636942;28,964370986066093;0;83,20953716243551
3;62,0304642020859;32,56791694183991;94,59838114392582;23,728056332844407;1,343093772335731;43,471389392192776;21,84367196244323;65,31506135463601;53,53500777395833;28,95229104331643;0;82,48729881727476
4;61,12696075124903;31,592468439180358;92,7194291904294;23,214982388141454;1,7372078154063444;45,21034784176311;20,72175569150506;65,93210353326816;52,865921129292204;28,939792929499422;0;81,80571405879162
5;60,27082256699335;30,52788861286128;90,79871117985464;22,650049472437644;2,1086195671886863;46,999210973000835;19,627734909773338;66,62694588277418;52,21663735664921;28,926907789896187;0;81,14354514654539
6;59,47800401974374;29,37359462617627;88,85159864592;22,029762279515836;2,4584727975235614;48,92899700477498;18,561939931388626;67,4909369361636;51,61428725669886;28,913382671865456;0;80,52766992856431
7;58,72882220242454;28,131110299874734;86,85993250229927;21,348852705929435;2,7771272060471297;50,832004766711705;17,523563813623117;68,35556858033482;51,04835373564316;28,899044806240692;0;79,94739854188386
8;57,08069249713338;27,763320218990366;84,84401271612374;20,605628651025413;3,068714674202466;51,75872398470331;17,457123147694265;69,21584713239757;49,52945176865907;29,872486225160667;0;79,40193799381974
9;56,42422565186037;26,359743640712885;82,78396929257326;19,79693862567896;3,3285015999792678;53,62358026744476;16,471659252048816;70,09523951949357;49,066360047104894;29,856173969931746;0;78,92253401703664
10;55,821819383017704;24,89415736571647;80,71597674873418;18,92270095414797;3,554959036621401;55,473177872515635;15,520127796333583;70,99330566884922;48,650181549274365;29,838749087762327;0;78,48893063703669
11;54,345835473808506;24,303679468463027;78,64951494227154;17,985573000889335;3,7472260008149356;56,31245098987586;15,487905792956186;71,80035678283205;48,25605465175385;29,819936593377324;0;78,07599124513118
12;51,0750545573883;25,493583902443504;76,5686384598318;16,98818207193302;3,90465485724779;55,22998703892414;17,3066214402498;72,53660847917394;45,04968546955267;32,63310807275963;0;77,68279354231231
13;50,588134908969444;23,922107981088253;74,5102428900577;15,93798062581014;4,030447868704188;56,83861071431348;16,427807618415404;73,26641833272889;44,68956618716911;32,610900282536306;0;77,30046646970541
14;50,10897854392827;22,36198125676173;72,47095980069;14,844648926920968;4,117713488752132;58,398175196607355;15,57356016692859;73,97173536353594;44,33166656096996;32,587188353651605;0;76,91885491462156
15;48,74559010842974;21,718081280335024;70,46367138876477;13,716903590105368;4,171908327146738;57,960126218094736;16,596153075960313;74,55627929405505;44,01039843074801;32,56171781413454;0;76,57211624488255
16;48,29916252505741;20,243489682790926;68,54265220784833;12,567530626149662;4,1975415614258225;59,370678155842064;15,783245157199334;75,1539233130414;43,74217128958152;32,53441712949122;0;76,27658841907274
17;47,02009212313635;19,706750741603493;66,72684286473984;11,409555274634755;4,195144915218433;59,894293586694324;15,855832935801471;75,75012652249579;42,58166075386766;33,40579191519381;0;75,98745266906147
18;44,00290976668464;21,01071117230926;65,0136209389939;10,256459750455306;4,171224909291712;57,94248505341819;18,30161574403505;76,24410079745324;40,47304592596307;35,24067667560795;0;75,71372260157102
19;41,876451317600136;21,528787855288527;63,40523917288866;9,122767229779177;4,131759224833768;57,576418436738734;18,999170575064024;76,57558901180276;37,477000610935825;37,977232158737316;0;75,45423276967314
20;40,66160291370261;21,26345011369423;61,92505302739684;8,024576541540991;4,08400739363625;57,83544663748053;19,06249122566761;76,89793786314814;36,358837321702346;38,851679877569;0;75,21051719927135
21;39,49977957791249;21,06626469521671;60,5660442731292;6,978268367906565;4,033795737841466;58,10023423400806;19,120046433391565;77,22028066739963;35,32334867829939;39,6664364175675;0;74,98978509586689
22;38,343066685661725;20,98447888263504;59,32754556829677;5,997838035956568;3,990743801026694;58,40404005047012;19,06168978172704;77,46572983219716;34,28123372796229;40,51807335012175;0;74,79930707808404
23;35,55046646643831;22,64788596754686;58,198352433985164;5,094066726123709;3,961227709560685;55,61841194970026;22,048001780921734;77,666413730622;32,38571120359271;42,24380736503844;0;74,62951856863116
24;34,47278532354523;22,696341516395954;57,169126839941185;4,269021221591746;3,956216199896289;55,753637432998296;22,051177160896984;77,80481459389529;31,401436306623964;43,06299041305584;0;74,4644267196798
25;34,25506953144962;21,976957280392885;56,2320268118425;3,5301499643125336;3,979251946105828;56,65399585115327;21,278071333933326;77,9320671850866;31,299580065321436;43,003113409614166;0;74,30269347493561
26;31,617425000891547;23,72275592976667;55,34018093065822;2,8772287771536416;4,032339818681178;54,60556601980912;23,41340579823873;78,01897181804785;28,6264516390789;45,51806915247427;0;74,14452079155316
27;28,242840248649554;26,255018394331074;54,49785864298063;2,309815063247715;4,117292307102378;51,319590761998924;26,720352709292406;78,03994347129134;23,42899505158795;50,55298281491355;0;73,9819778665015
28;26,500610352306545;27,171632637203192;53,67224298950974;1,8259447627191052;4,230012406787974;48,611073682063385;29,39679759519208;78,00787127725546;22,54292486697361;51,31331605909232;0;73,85624092606594
29;25,58626585299028;27,283978783635987;52,87024463662627;1,415693713409695;4,369618084622158;48,98704019181485;28,957883591690724;77,94492378350557;20,865738933446536;52,89332818544563;0;73,75906711889218
30;23,17164789626338;28,922199088787163;52,09384698505055;1,0761507417907206;4,530968408943119;46,147471421414124;31,50080698029432;77,64827840170844;19,21140100373767;54,443455245477296;0;73,65485624921496
