id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;spouses_number;children_number;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id1;active;male;married;87;2017;3;8936,362014;28;0;0,13841465279122625;1,847187466513586;8242,975;8526,80111406653;8820,128426114043;9123,172118472577;9436,432115887503;9760,245607826591;10094,549080467968;10439,33908368188;10794,906608446916;11162,34751967643;11541,459061114478;11932,579135205018;12335,801034748732;12751,714732451323;13180,276180216306;13621,393124726426;14075,355659588542;14542,306356440266;15022,058259880077;15515,969331502663;16024,719789039777;16547,145339895695;17082,942233514153;17632,096954356908;18194,561364227866;18770,051659297194;19359,033931993767;19963,497041765968;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id2;active;male;married;92;2003;3;2202,238758;33;0;0,2945990180032734;1,847187466513586;6031,35;6237,93304419089;6450,99624663906;6670,719425405372;6897,779770912151;7132,051989801685;7373,744889104786;7622,916119167156;7879,930253998657;8144,760074049971;8417,34857132484;8697,875009352698;8986,427490367956;9282,890485160977;9588,103146965523;9902,48581676288;10225,319019200753;10556,41505142912;10895,76556151249;11243,340802421886;11598,965397399601;11962,927368559416;12336,455732866267;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id3;active;female;not married;85;2017;4;4236,686449;26;0;0,0;0,0;6824,675;7059,741408780048;7302,7539329303545;7554,205899091563;7814,075325080463;8082,552848816859;8360,081371971617;8646,9596230635;8943,131332867799;9248,593444788004;9563,603758406589;9889,133140650363;10225,001962314383;10571,509583569172;10928,738655929152;11297,211857856513;11676,890165526747;12067,691848341936;12469,873910870008;12883,562662554745;13308,592472747774;13746,166409440497;14196,887102474171;14659,72306232803;15134,405185241676;15620,921497303969;16119,229351121123;16629,077314469403;17150,878315729402;17686,3943584446;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id4;active;female;not married;81;2017;4;1820,368045;22;0;0,0;0,0;7472,400000000001;7730,488970782967;7997,409443038025;8273,209008323269;8558,430908304557;8853,21412045859;9157,962097145111;9473,29349082291;9799,180734905125;10135,86289740087;10483,895395725523;10843,652848067957;11215,064690442068;11598,127089746631;11993,163337554479;12401,390942027421;12822,584640550089;13257,11984342936;13705,100199157743;14167,181168618867;14643,313814287372;15133,395642538962;15637,748947964632;16156,532127945598;16689,537474648092;17238,273686183365;17803,496485843698;18383,9123421721;18979,18378767885;19589,295806573267;20214,19491722098;20853,56581298613;21507,92632351122;22179,48607571432;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id5;active;male;married;85;2017;3;9603,537268;26;0;0,06190023607321337;1,847187466513586;8599,175000000001;8895,361585547467;9201,560374846622;9518,39296557282;9845,831659903042;10184,116663976632;10533,806039382687;10895,276187753565;11268,456209169439;11653,342252280861;12050,2591477537;12460,430199936565;12883,629073807144;13320,232966886842;13770,346021107165;14234,626817802062;14713,026186469462;15205,441145544037;15712,195523963499;16233,448473190914;16768,99129655857;17320,339874631463;17888,253528471072;18471,4325685098;19069,537920677627;19682,554497698256;20310,42856332748;20952,843309850276;21610,319032138876;22285,075876474388;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id6;active;male;married;80;2017;3;4233,230499;21;0;0,658176740232537;1,847187466513586;6807,125;7042,166196267569;7285,395336259715;7536,9474917661555;7796,867514194965;8065,667367318922;8343,47802679356;8630,679715648917;8927,855466569603;9234,979300153263;9552,276519736506;9880,270563805938;10219,314481388137;10569,341771316462;10930,348821185811;11302,640308607903;11687,363642021885;12084,306528620196;12493,82276394013;12916,010028768347;13351,48604491813;13800,204692510099;14262,069379132645;14737,383842818273;15226,297360999064;15728,61418490814;16245,75614726851;16778,43545955475;17325,43306717929;17886,430932811607;18461,414905216032;19050,33458203753;19652,892810857546;20269,577606558018;20902,471373719636;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id7;active;male;married;79;2017;3;9804,155623;20;0;0,003691444715975295;1,847187466513586;6013,8;6221,387076930079;6436,203502514337;6658,503317528743;6888,409971136791;7125,964455382926;7371,634680699205;7625,540352578148;7888,028976706132;8159,633417105708;8440,32992984414;8730,324431408462;9030,095319571026;9339,965264277147;9659,873486637238;9989,816685085605;10330,073320405047;10681,692069097808;11044,478905678898;11418,757182368763;11804,616174740246;12202,620451022416;12612,727859848634;13034,850120368885;13469,264834635436;13916,108435090311;14375,202016711408;14847,845066687285;15334,688512283718;15834,618195841309;16347,34344643246;16872,851330503756;17411,095782710392;17961,805219936643;18525,425664472357;19103,86033462883;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id8;active;male;married;90;2017;3;9913,411098;31;0;0,0;1,847187466513586;6098,95;6308,368066043637;6524,841269773191;6748,327151436849;6978,823404581476;7216,524560166906;7462,163217033378;7715,603830191587;7977,0722914787;8246,63096825108;8524,674264339621;8811,172733063442;9106,064701973311;9409,54410212529;9721,706244369365;10042,426146776961;10372,611622963821;10712,71740664331;11061,965154248684;11420,151804889385;11787,268323265962;12163,28252841688;12548,004694077466;12941,746408627534;13345,83724846608;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id9;active;female;not married;85;2017;4;1738,6225570000001;26;0;0,0;0,0;8151,325000000001;8432,086017125215;8722,337796648708;9022,669563079931;9333,055061114486;9653,721986817261;9985,199337607512;10327,843911903214;10681,58850229331;11046,429458008855;11422,674692347051;11811,483799259573;12212,64223138278;12626,507541573332;13053,178447990811;13493,279232672949;13946,763285945824;14413,532989583508;14893,895307325618;15388,001101935119;15895,652545787274;16418,28657151184;16956,622954290902;17509,42969314012;18076,38537316284;18657,47569283684;19252,649714532545;19861,607130063672;20484,841137045056;21124,456255257344;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id10;active;male;not married;102;1997;1;8984,579559;43;0;0,0;0,0;6404,775000000001;6618,228049008884;6837,788127926185;7063,367330377654;7295,60416950163;7534,8184834734775;7780,462822260623;8032,394362441769;8290,60674901484;8555,077347414344;8825,672713163813;9102,612002784817;9386,830377399056;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
