id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;spouses_number;children_number;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id1;active;male;married;87;2017;3;8936,362014;28;0;0,13841465279122625;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;43197,0486245808;44384,96746175677;45605,55406695509;46859,706803796355;48148,34874090076;49472,428331275536;50832,92011038561;52230,825413421226;53667,17311229031;55143,0203728783;56659,453433132454;58217,58840254361;59818,57208361356;61463,582815912945;63153,831343350554;64890,5617052927;66675,05215218825;68508,61608637343;70392,60302874871;72328,3996120393;74317,43060137039;76361,15994290808;78461,09184133806;80618,77186697486;82835,78809331667;85113,77226588289;87454,40100319467;89859,39703078255;92330,53044912906;94869,62003648013;97478,53458748333;100159,19428863913
id2;active;male;married;92;2003;3;2202,238758;33;0;0,2945990180032734;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34977,87802449642;35939,76967017008;36928,113336099756;37943,6364528425;38987,08645529567;40059,23133281631;41160,860194468754;42292,78384981665;43455,835405686616;44650,870879343;45878,769828524935;47140,43599880938;48436,797988776634;49768,809933468;51137,45220663838;52543,732142320936;53988,68477623477;55473,37360758123;56998,89138178971;58566,36089478894;60176,935819395636;61831,80155442902;63532,17609717582;65279,31093984816;67074,49199069399;68919,04052043808;70814,31413475014;72761,70777345577;74762,6547372258;76818,62774249954;78931,14000541826;81101,74635556727;83332,04438034538;85623,67560080488;87978,32667982703;90397,73066352228;92883,66825676915
id3;active;female;not married;85;2017;4;4236,686449;26;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40909,14999097297;42034,15161572473;43190,09078515716;44377,81828174899;45598,20828449709;46852,159012320764;48140,593385159584;49464,45970325148;50824,732345090895;52222,4124845809;53658,52882790688;55134,13837067433;56650,32717586787;58208,21117320425;59808,93698046737;61453,682747430226;63143,65902298456;64880,10964611664;66664,31266138486;68497,58125957294;70381,2647442112;72316,74952467701;74305,46013660563;76348,8602903623;78448,45394834726;80605,78643192683;82822,44555880481;85100,06281167196;87440,31453899294;89844,92318881527
id4;active;female;not married;81;2017;4;1820,368045;22;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;57921,390703266894;59514,22894760674;61150,87024366593;62832,51917536674;64560,41345268933;66335,8248226383;68160,06000526085;70034,46165540554;71960,40935092919;73939,32060807975;75972,65192480195;78061,89985273402;80208,6020986842;82414,33865639803;84680,73296944899;87009,45312610884;89402,21308707683;91860,77394697146;94386,94523051319;96982,5862243523;99649,60734552199;102389,97154752385;105205,69576508076;108098,8523986205;111071,57083958256;114126,0390376711
id5;active;male;married;85;2017;3;9603,537268;26;0;0,06190023607321337;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51546,03550698384;52963,5514834259;54420,04914922012;55916,60050082367;57454,30701459633;59034,30045749773;60657,74372007892;62325,8316723811;64039,792043371584;65800,88632456432;67610,41069848982;69469,69699269831;71380,11365999751;73343,06678564746;75360,00112225277;77432,40115311473;79561,79218482539;81749,7414699081;83997,85936033058;86307,80049273967;88681,26500629002;91119,999793963;93625,79978829698;96200,50928247516;98846,02328774323;101564,28892815618;104357,30687368049;107227,13281270671;110175,87896505615;113205,71563659521
id6;active;male;married;80;2017;3;4233,230499;21;0;0,658176740232537;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;56146,100114894034;57690,117868053625;59276,5961094251;60906,702502434295;62581,63682125124;64302,631833835665;66070,95420926614;67887,90545002097;69754,82284989655;71673,08047826872;73644,0901914211;75669,3026716852;77750,20849515653;79888,33922877336;82085,26855756463;84342,61344289767;86662,03531257735;89045,24128367324;91493,98541897426;94010,07001799607;96595,34694349096;99251,71898443697;101981,14125650898;104785,622641063;107667,22726369224
id7;active;male;married;79;2017;3;9804,155623;20;0;0,003691444715975295;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;52740,26602831794;54190,62334409669;55680,86548605935;57212,089286925984;58785,42174231645;60402,020840230165;62063,0764133365;63769,811014703264;65523,480817607604;67325,37654009182;69176,82439494434;71079,18706580532;73033,86471011497;75042,29598964316;77105,95912935834;79226,3730054157;81405,09826306465;83643,73846529893;85943,94127309465;88307,39965810475;90735,85314870265;93231,08911029197;95794,94406082502;98429,3050224977
id8;active;male;married;90;2017;3;9913,411098;31;0;0,0;1,847187466513586;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25890,392234114057;26602,378020552194;27333,943416117385;28085,626860060613;28857,98159871228;29651,576092676874;30466,994435225486;31304,836782194194;32165,719793704535;33050,27708803141;33959,159707952276;34893,03659992097;35852,5951064188;36838,54147184532;37851,60136232107;38892,5203997849;39962,06471077899;41061,02149032542;42190,19958130937;43350,43006979538;44542,56689671475;45767,48748637441;47026,09339224971;48319,31096053658;49648,09201195134;51013,41454228001;52416,28344219271;53857,73123685302;55338,81884586647;56860,636364127815;58424,30386414133;60030,97222040522;61681,82395646637;63378,0741152692;65120,97115343911
id9;active;female;not married;85;2017;4;1738,6225570000001;26;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48861,48821008586;50205,179135863225;51585,82156209947;53004,431655057204;54462,05352557128;55959,759997524496;57498,65339745642;59079,86636588648;60704,56269094836;62373,93816494945;64089,22146448556;65851,67505475893;67662,59611876479;69523,31751203084;71435,2087436117;73399,67698406102;75418,1681011227;77492,16772390358;79623,20233631095;81812,8404005595;84062,6935115749;86374,4175831432;88749,71406667965;91190,33120351334;93698,06531160997;96274,76210767926;98922,31806564044;101642,68181244557;104437,85556228782;107309,89659025075
id10;active;male;not married;102;1997;1;8984,579559;43;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18000,0;18495,0;19003,612500000003;19526,211843750003;20063,18266945313;20614,920192863094;21181,83049816683;21764,330836866422;22362,849934880247;22977,828308089458;23609,718586561918;24258,985847692376;24926,107958503915;25611,575927362777;26315,894265365256;27039,581357662802;27783,16984499853;28547,207015735992;29332,255208668736;30138,892226907126;30967,711763147076;31819,32383663362;32694,35524214105;33593,45001129993;34517,26988661068;35466,494808492476;36441,82341572602;37443,973559658494;38473,6828325491;39531,70911044421;40618,831110981424;41735,84896653342;42883,58481311309;44062,883395473706;45274,612688849236;46519,664537792596;47798,95531258189;49113,4265836779;50464,04581472904;51851,807074634096;53277,73176918654;54742,869392839166;56248,298301142255;57795,12650442367;59384,492483295326;61017,566026585955;62695,54909231707
