id;type;sex;familyStatus;age;Year_employment;group;SIR;age0;entrance;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id1;active;male;married;87;2017;3;8936,362014;28;0;25363,0;26236,311120204708;27138,856695735514;28071,29882606947;29035,175741192317;30031,52494715874;31060,15101682452;32121,043334405782;33215,09725675974;34345,68467592748;35512,18172650608;36715,62810832313;37956,310876149946;39236,045330619454;40554,695939127094;41911,97884531208;43308,78664488782;44745,5580198162;46221,71772270793;47741,44409693127;49306,83012012239;50914,29335352521;52562,89918004355;54252,60601340587;55983,26573608574;57754,005105529825;59566,258252288506;61426,14474389529;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id2;active;male;married;92;2003;3;2202,238758;33;0;18558,0;19193,640135971968;19849,219220427876;20525,290539708836;21223,937756652773;21944,775353235953;22688,44581263011;23455,126520514325;24245,93924307279;25060,800227846063;25899,53406561489;26762,692336469838;27650,546124209097;28562,73995434147;29501,855836816994;30469,187128501173;31462,52005907924;32481,277081320364;33525,432496961505;34594,894776682726;35689,12429969108;36809,00728787512;37958,3253318962;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id3;active;female;not married;85;2017;4;4236,686449;26;0;20999,0;21722,28125778476;22470,012101324166;23243,71045874327;24043,30869255527;24869,39338097495;25723,327298374206;26606,02960942615;27517,327178054762;28457,210599347705;29426,473102789503;30428,101971231885;31461,54449942887;32527,721795597452;33626,8881720897;34760,65187032773;35928,89281700538;37131,3595333598;38368,84280267695;39641,73126939921;40949,51530076238;42295,896644432294;43682,72954607437;45106,84019177855;46567,40056997439;48064,373837858366;49597,62877268038;51166,39173682893;52771,93327916739;54419,6749490603;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id4;active;female;not married;81;2017;4;1820,368045;22;0;22992,0;23786,119910101435;24607,413670886228;25456,027717917746;26333,633564014024;27240,658832180277;28178,344914292647;29148,595356378188;30151,325338169612;31187,27045354114;32258,139679155454;33365,085686362945;34507,89135520636;35686,544891528094;36902,04103862916;38158,12597546899;39454,106586307964;40791,137979782645;42169,539074331515;43591,32667267344;45056,350197807296;46564,29428473527;48116,15060912194;49712,406547524915;51352,42299891721;53040,842111333426;54779,98918721137;56565,884129760314;58397,48857747338;60274,75632791774;62197,522822218394;64164,81788611117;66178,23484157298;68244,57254065944;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id5;active;male;married;85;2017;3;9603,537268;26;0;26459,0;27370,343340146053;28312,49346106653;29287,362970993294;30294,866645855513;31335,74358146656;32411,710890408267;33523,92673154943;34672,17295129058;35856,437699325725;37077,72045462677;38339,785230574045;39641,93561171429;40985,332205805666;42370,29544956051;43798,85174708327;45270,84980452142;46785,97275552011;48345,21699681076;49949,07222520281;51596,896297103296;53293,353460404505;55040,7800876033;56835,177133876314;58675,5012943927;60561,70614676386;62493,626348699945;64470,28710723161;66493,28932965807;68569,4642353058;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id6;active;male;married;80;2017;3;4233,230499;21;0;20945,0;21668,203680823288;22416,601034645275;23190,607666972785;23990,361582138354;24817,438053288988;25672,240082441724;26555,93758661205;27470,324512521856;28415,320923548505;29391,62006072771;30400,832504018268;31444,044558117344;32521,051604050648;33631,84252672557;34777,35479571662;35961,118898528875;37182,48162652368;38442,53158135425;39741,56931928722;41081,49552282502;42462,168284646454;43883,29039733121;45345,79643944084;46850,145726150964;48395,735953563504;49986,94199159541;51625,955260168455;53309,02482209011;55035,172100958785;56804,35355451087;58616,414098577014;60470,43941802322;62367,931097101595;64315,296534521956;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id7;active;male;married;79;2017;3;9804,155623;20;0;18504,0;19142,729467477166;19803,703084659497;20487,702515473055;21195,107603497818;21926,04447810131;22681,95286368986;23463,20108485584;24270,85838986502;25106,564360325254;25970,24593798197;26862,536712026034;27784,908675603157;28738,354659314296;29722,6876511915;30737,89749257109;31784,840985861683;32866,74482799325;33983,01201747353;35134,63748421158;36321,895922277676;37546,52446468436;38808,39341491887;40107,231139596566;41443,89179887826;42818,795184893264;44231,390820650486;45685,677128268566;47183,65696087298;48721,90214105018;50299,51829671526;51916,46563231925;53572,60240833967;55267,09298442044;57001,309736838026;58781,108721934856;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id8;active;male;married;90;2017;3;9913,411098;31;0;18766,0;19410,363280134265;20076,434676225203;20764,08354288261;21473,302783327617;22204,69095435971;22960,502206256548;23740,319477512574;24544,837819934462;25374,249133080244;26229,766967198833;27111,300717118284;28018,660621456344;28952,443391154735;29912,942290367275;30899,772759313728;31915,72807065791;32962,20740505634;34036,81585922672;35138,928630428876;36268,51791774142;37425,484702821166;38609,24521254605;39820,75818039241;41064,11461066486;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id9;active;female;not married;85;2017;4;1738,6225570000001;26;0;25081,0;25944,880052692966;26837,96245122679;27762,060194092097;28717,09249573688;29703,759959437728;30723,690269561575;31777,981267394505;32866,42616090249;33989,01371695032;35146,691361067846;36343,02707464484;37577,36071194702;38850,79243561025;40163,62599381788;41517,782254378304;42913,11780291023;44349,33227564156;45827,37017638652;47347,6956982619;48909,70014088392;50517,80483542104;52174,22447474124;53875,16828658498;55619,647302039506;57407,61751642105;59238,922198561675;61112,63732327284;63030,2804216771;64998,32693925337;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id10;active;male;not married;102;1997;1;8984,579559;43;0;19707,0;20363,778612335027;21039,348085926722;21733,43793962355;22448,012829235784;23184,056872226083;23939,885606955762;24715,059576743904;25509,55922773797;26323,31491512106;27155,91604050404;28008,03693164559;28882,555007381707;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
